"Date";"Temp max extreme";"Temp max moyenne";"Temp moyenne";"Temp mini moyenne";"Temp mini extreme";"Temp maxi minimale";"Temp mini maximale";"DJU chauffagiste";"DJU climaticien";"Ensoleillement (h)";"Precipitations cumul";"Precipitation max en 1j";"Precipitation max en 5j";"Precipitation moyenne";"Neige au sol max";"Rafale maximale";"Pression min";"Pression max"
"01/2004";"15.0";"5.4";"2.3";"-0.8";"-12.2";"-1.9";"6.9";"487.5";"N/A";"63.9";"62.0";"15.2";"28.0";"4.0";"6,0";"75.9";"999.8";"1027.5"
"02/2004";"14.9";"7.8";"3.1";"-1.6";"-9.5";"1.0";"5.6";"432.9";"N/A";"108.8";"39.6";"26.6";"37.0";"7.9";"10,0";"53.7";"998.5";"1037.2"
"03/2004";"22.5";"10.9";"5.8";"0.9";"-6.3";"0.9";"8.9";"377";"1.4";"160.9";"48.8";"19.4";"20.0";"5.2";"1,0";"64.8";"1009.7";"1035.7"
"04/2004";"21.7";"14.7";"9.1";"3.7";"-2.6";"4.9";"11.4";"268.1";"2.5";"151.9";"45.0";"10.8";"17.6";"4.3";"0";"57.4";"995.7";"1027.9"
"05/2004";"27.5";"19.3";"12.9";"6.7";"1.5";"11.4";"12.8";"173.7";"17.3";"255.8";"46.2";"13.0";"27.8";"5.0";"0";"57.2";"989.7";"1025.7"
"06/2004";"31.8";"25.0";"18.3";"11.6";"6.8";"16.9";"20.4";"61.1";"87.6";"286.8";"19.4";"9.6";"16.8";"4.5";"0";"61.1";"1005.3";"1025.0"
"07/2004";"34.5";"27.4";"20.3";"12.9";"6.8";"19.9";"18.4";"44.8";"164.7";"289.8";"12.4";"8.0";"8.6";"5.0";"0";"57.6";"1006.8";"1022.2"
"08/2004";"35.7";"26.6";"20.3";"14.3";"6.5";"18.8";"19.7";"31.9";"163.3";"230.7";"178.2";"72.6";"80.2";"16.1";"0";"90.7";"1006.4";"1023.8"
"09/2004";"29.3";"22.5";"16.4";"10.8";"4.7";"14.5";"16.3";"86.5";"47.5";"239";"23.8";"10.6";"16.0";"4.5";"0";"61.1";"1010.7";"1026.5"
"10/2004";"24.7";"18.4";"14.0";"9.5";"3.1";"9.9";"14.0";"141.2";"15.8";"116.7";"187.0";"59.4";"104.6";"11.0";"0";"64.8";"998.5";"1024.5"
"11/2004";"16.3";"8.9";"5.1";"1.6";"-5.3";"3.0";"10.5";"383";"N/A";"84.4";"41.8";"18.4";"33.0";"6.8";"0";"72.2";"1008.2";"1033.7"
"12/2004";"14.0";"5.7";"2.2";"-1.0";"-8.9";"1.0";"4.4";"487";"N/A";"81.8";"47.4";"14.4";"27.4";"7.6";"5,0";"68.3";"998.3";"1036.8"
"01/2005";"12.2";"5.6";"1.7";"-2.1";"-9.9";"-3.5";"5.5";"504.6";"N/A";"142.3";"41.6";"13.6";"29.8";"6.7";"6,0";"79.5";"1005.5";"1040.7"
"02/2005";"12.1";"3.7";"-0.1";"-3.5";"-12.9";"-3.6";"3.8";"502.5";"N/A";"93";"44.0";"18.4";"36.8";"7.1";"14,0";"72.2";"1002.3";"1037.4"
"03/2005";"21.8";"11.9";"6.2";"0.8";"-14.7";"-0.2";"10.3";"363.8";"3.1";"181";"33.4";"7.4";"12.2";"3.9";"11,0";"53.5";"1004.6";"1033.8"
"04/2005";"27.1";"14.8";"9.2";"3.6";"-1.5";"2.4";"9.2";"271.9";"6.6";"134.1";"169.6";"45.2";"100.6";"13.0";"24,0";"79.5";"1002.8";"1029.1"
"05/2005";"29.2";"20.5";"14.2";"8.1";"0.4";"13.4";"13.6";"142.5";"27.3";"239";"68.8";"24.0";"27.0";"6.7";"0";"61.1";"1008.6";"1026.9"
"06/2005";"35.3";"26.6";"19.5";"12.3";"2.1";"19.2";"17.7";"57.9";"101.9";"316.2";"22.0";"8.0";"10.4";"5.2";"0";"64.8";"1006.7";"1029.8"
"07/2005";"36.7";"26.8";"20.4";"13.6";"6.6";"16.8";"19.9";"41.7";"164.1";"276.9";"66.8";"37.8";"37.8";"13.2";"0";"68.3";"1005.9";"1026.4"
"08/2005";"29.8";"23.5";"17.8";"12.2";"5.6";"14.9";"15.6";"60.6";"55.6";"243.1";"78.2";"18.2";"27.0";"7.0";"0";"57.6";"1009.6";"1024.9"
"09/2005";"31.0";"21.7";"16.4";"11.2";"2.9";"11.7";"16.9";"88.5";"42.6";"259.4";"49.1";"11.8";"25.3";"6.8";"0";"46.5";"1006.4";"1026.5"
"10/2005";"23.1";"19.0";"14.1";"9.4";"6.1";"10.5";"13.2";"130.6";"11.8";"153.7";"130.6";"42.4";"82.6";"14.4";"0";"50.0";"1009.7";"1025.3"
"11/2005";"20.2";"8.8";"5.2";"1.3";"-8.9";"-4.0";"11.8";"389.2";"0.4";"117.8";"57.6";"44.2";"44.4";"9.5";"7,0";"53.5";"996.1";"1036.7"
"12/2005";"12.6";"3.1";"-0.3";"-3.2";"-20.2";"-4.0";"6.6";"561.1";"N/A";"81.3";"68.2";"12.6";"28.6";"6.8";"18,0";"68.3";"997.9";"1036.2"
"01/2006";"10.6";"4.6";"0.8";"-2.8";"-8.1";"-1.6";"3.3";"530.3";"N/A";"117.2";"34.0";"12.0";"12.4";"8.0";"17,0";"57.6";"1007.5";"1034.0"
"02/2006";"14.6";"5.5";"1.6";"-2.2";"-7.7";"-4.4";"5.2";"459.9";"N/A";"82.8";"43.0";"20.0";"42.4";"10.6";"4,0";"68.3";"994.9";"1030.2"
"03/2006";"22.4";"10.5";"6.2";"1.7";"-7.3";"0.4";"10.1";"369.9";"1.1";"130.7";"119.2";"18.8";"40.2";"7.3";"4,0";"75.9";"991.9";"1026.2"
"04/2006";"23.3";"16.0";"10.2";"4.3";"-3.5";"5.3";"10.6";"240.8";"4.9";"193.4";"61.0";"24.6";"35.0";"7.6";"1,0";"64.8";"1002.3";"1024.9"
